"","Date","Team","Popularity","MonthNum","pred","Season","Lg","W","L","W.L.","Finish","SRS","Pace","Rel_Pace","ORtg","Rel_ORtg","DRtg","Rel_DRtg","Playoffs","Coaches","Top WS","IndPlayoffs","PO_diff","NP_diff","Bandwagon","ï..Market","Size","pred_by_pop","diff","Succ_Cat","DarkHorseDiff","FavoriteDiff","ContenderDiff","BWScore"
"1",2004-01-01,"AtlantaHawks",1,1,1.29771919376503,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.83220881631035,-0.29771919376503,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"2",2004-02-01,"AtlantaHawks",1,2,1.28363257386918,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.8291194993849,-0.283632573869184,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"3",2004-03-01,"AtlantaHawks",1,3,1.11328275788386,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.63809380115093,-0.113282757883858,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"4",2004-04-01,"AtlantaHawks",1,4,1.44776401202984,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.98814620799542,-0.447764012029841,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"5",2004-05-01,"AtlantaHawks",1,5,1.94614558595627,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,2.5097881775413,-0.946145585956274,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"6",2004-06-01,"AtlantaHawks",1,6,1.30781755719263,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.8669213563544,-0.307817557192633,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"7",2004-07-01,"AtlantaHawks",1,7,0.835375522238427,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.3497698357897,0.164624477761573,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"8",2004-08-01,"AtlantaHawks",1,8,0.0107970958672423,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,0.499100429137564,0.989202904132758,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"9",2004-09-01,"AtlantaHawks",1,9,-0.0717829837391069,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,0.412622598546843,1.07178298373911,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"10",2004-10-01,"AtlantaHawks",1,10,0.945848701100246,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.4744255618318,0.0541512988997543,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"11",2004-11-01,"AtlantaHawks",1,11,1.4156557507815,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.94879401536933,-0.415655750781497,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"12",2004-12-01,"AtlantaHawks",1,12,1.38261373810938,"2003","NBA",28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,"Did Not Make Playoffs","T. Stotts (28-54)","S. Abdur-Rahim (6.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,1.92280459744459,-0.382613738109384,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"13",2005-01-01,"AtlantaHawks",1,1,-0.573694646039146,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.144386233230762,1.57369464603915,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"14",2005-02-01,"AtlantaHawks",1,2,-0.580262894025772,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.145826706518581,1.58026289402577,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"15",2005-03-01,"AtlantaHawks",1,3,-0.659692866875235,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.234897340005977,1.65969286687523,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"16",2005-04-01,"AtlantaHawks",1,4,-0.503732399399542,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.0716764230315652,1.50373239939954,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"17",2005-05-01,"AtlantaHawks",1,5,-0.271349202172847,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,0.171552530510356,1.27134920217285,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"18",2005-06-01,"AtlantaHawks",1,6,-0.568986024968797,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.128200620717554,1.5689860249688,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"19",2005-07-01,"AtlantaHawks",1,7,-0.789274246545685,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.369335787197868,1.78927424654569,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"20",2005-08-01,"AtlantaHawks",1,8,-1.17375509637858,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.765982226076724,2.17375509637858,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"21",2005-09-01,"AtlantaHawks",0,9,-1.21226017748536,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.806304733595564,1.21226017748536,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
"22",2005-10-01,"AtlantaHawks",1,10,-0.737763292179031,"2004","NBA",13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,"Did Not Make Playoffs","M. Woodson (13-69)","J. Childress (4.6)","No Playoffs",-0.192154724191967,0.41818041612654,-0.610335140318506,"Atlanta",2341000,-0.311211856286741,1.73776329217903,"Dark Horse",-0.174048541553276,0,-1.15162722049744,-0.977578678944159
