,Date,Team,Popularity,MonthNum,pred,Season,W,L,W.L.,Finish,Playoffs,Top WS,IndPlayoffs,PO_diff,NP_diff,Bandwagon,Market,Size,pred_by_pop,diff,Succ_Cat,DarkHorseDiff,FavoriteDiff,ContenderDiff,BWScore
1,1/1/04,AtlantaHawks,1,1,1.297719194,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.22425837,-0.297719194,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
2,2/1/04,AtlantaHawks,1,2,1.283632574,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.221169053,-0.283632574,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
3,3/1/04,AtlantaHawks,1,3,1.113282758,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.030143355,-0.113282758,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
4,4/1/04,AtlantaHawks,1,4,1.447764012,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.380195762,-0.447764012,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
5,5/1/04,AtlantaHawks,1,5,1.946145586,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.901837731,-0.946145586,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
6,6/1/04,AtlantaHawks,1,6,1.307817557,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.25897091,-0.307817557,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
7,7/1/04,AtlantaHawks,1,7,0.835375522,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.741819389,0.164624478,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
8,8/1/04,AtlantaHawks,1,8,0.010797096,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.891149983,0.989202904,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
9,9/1/04,AtlantaHawks,1,9,-0.071782984,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.804672152,1.071782984,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
10,10/1/04,AtlantaHawks,1,10,0.945848701,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.866475115,0.054151299,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
