"","Month","Team","Popularity"
"1","2004-01","AtlantaHawks",11
"2","2004-02","AtlantaHawks",12
"3","2004-03","AtlantaHawks",7
"4","2004-04","AtlantaHawks",4
"5","2004-05","AtlantaHawks",4
"6","2004-06","AtlantaHawks",7
"7","2004-07","AtlantaHawks",6
"8","2004-08","AtlantaHawks",7
"9","2004-09","AtlantaHawks",4
"10","2004-10","AtlantaHawks",10
"11","2004-11","AtlantaHawks",11
"12","2004-12","AtlantaHawks",10
"13","2005-01","AtlantaHawks",8
"14","2005-02","AtlantaHawks",9
"15","2005-03","AtlantaHawks",8
"16","2005-04","AtlantaHawks",7
"17","2005-05","AtlantaHawks",4
"18","2005-06","AtlantaHawks",7
"19","2005-07","AtlantaHawks",8
"20","2005-08","AtlantaHawks",7
"21","2005-09","AtlantaHawks",4
"22","2005-10","AtlantaHawks",11
"23","2005-11","AtlantaHawks",10
"24","2005-12","AtlantaHawks",10
"25","2006-01","AtlantaHawks",8
"26","2006-02","AtlantaHawks",8
"27","2006-03","AtlantaHawks",8
"28","2006-04","AtlantaHawks",5
"29","2006-05","AtlantaHawks",4
"30","2006-06","AtlantaHawks",4
"31","2006-07","AtlantaHawks",6
"32","2006-08","AtlantaHawks",4
"33","2006-09","AtlantaHawks",3
"34","2006-10","AtlantaHawks",7
"35","2006-11","AtlantaHawks",12
"36","2006-12","AtlantaHawks",10
"37","2007-01","AtlantaHawks",7
"38","2007-02","AtlantaHawks",10
"39","2007-03","AtlantaHawks",7
"40","2007-04","AtlantaHawks",5
"41","2007-05","AtlantaHawks",4
"42","2007-06","AtlantaHawks",8
"43","2007-07","AtlantaHawks",7
"44","2007-08","AtlantaHawks",3
"45","2007-09","AtlantaHawks",3
"46","2007-10","AtlantaHawks",8
"47","2007-11","AtlantaHawks",13
"48","2007-12","AtlantaHawks",10
"49","2008-01","AtlantaHawks",9
"50","2008-02","AtlantaHawks",12
"51","2008-03","AtlantaHawks",10
"52","2008-04","AtlantaHawks",15
"53","2008-05","AtlantaHawks",11
"54","2008-06","AtlantaHawks",4
"55","2008-07","AtlantaHawks",5
"56","2008-08","AtlantaHawks",3
"57","2008-09","AtlantaHawks",3
"58","2008-10","AtlantaHawks",6
"59","2008-11","AtlantaHawks",14
"60","2008-12","AtlantaHawks",14
"61","2009-01","AtlantaHawks",10
"62","2009-02","AtlantaHawks",10
"63","2009-03","AtlantaHawks",11
"64","2009-04","AtlantaHawks",13
"65","2009-05","AtlantaHawks",12
"66","2009-06","AtlantaHawks",4
"67","2009-07","AtlantaHawks",4
"68","2009-08","AtlantaHawks",3
"69","2009-09","AtlantaHawks",4
"70","2009-10","AtlantaHawks",8
"71","2009-11","AtlantaHawks",14
"72","2009-12","AtlantaHawks",13
"73","2010-01","AtlantaHawks",14
"74","2010-02","AtlantaHawks",12
"75","2010-03","AtlantaHawks",11
"76","2010-04","AtlantaHawks",13
"77","2010-05","AtlantaHawks",12
"78","2010-06","AtlantaHawks",5
"79","2010-07","AtlantaHawks",7
"80","2010-08","AtlantaHawks",4
"81","2010-09","AtlantaHawks",4
"82","2010-10","AtlantaHawks",9
"83","2010-11","AtlantaHawks",13
"84","2010-12","AtlantaHawks",10
"85","2011-01","AtlantaHawks",13
"86","2011-02","AtlantaHawks",15
"87","2011-03","AtlantaHawks",15
"88","2011-04","AtlantaHawks",19
"89","2011-05","AtlantaHawks",21
"90","2011-06","AtlantaHawks",6
"91","2011-07","AtlantaHawks",3
"92","2011-08","AtlantaHawks",4
"93","2011-09","AtlantaHawks",3
"94","2011-10","AtlantaHawks",3
"95","2011-11","AtlantaHawks",4
"96","2011-12","AtlantaHawks",16
"97","2012-01","AtlantaHawks",21
"98","2012-02","AtlantaHawks",15
"99","2012-03","AtlantaHawks",15
"100","2012-04","AtlantaHawks",14
"101","2012-05","AtlantaHawks",13
"102","2012-06","AtlantaHawks",6
"103","2012-07","AtlantaHawks",14
"104","2012-08","AtlantaHawks",6
"105","2012-09","AtlantaHawks",4
"106","2012-10","AtlantaHawks",9
"107","2012-11","AtlantaHawks",14
"108","2012-12","AtlantaHawks",14
"109","2013-01","AtlantaHawks",14
"110","2013-02","AtlantaHawks",13
"111","2013-03","AtlantaHawks",14
"112","2013-04","AtlantaHawks",12
"113","2013-05","AtlantaHawks",8
"114","2013-06","AtlantaHawks",10
"115","2013-07","AtlantaHawks",15
"116","2013-08","AtlantaHawks",5
"117","2013-09","AtlantaHawks",4
"118","2013-10","AtlantaHawks",8
"119","2013-11","AtlantaHawks",15
"120","2013-12","AtlantaHawks",13
"121","2014-01","AtlantaHawks",14
"122","2014-02","AtlantaHawks",13
"123","2014-03","AtlantaHawks",16
"124","2014-04","AtlantaHawks",33
"125","2014-05","AtlantaHawks",15
"126","2014-06","AtlantaHawks",8
"127","2014-07","AtlantaHawks",13
"128","2014-08","AtlantaHawks",6
"129","2014-09","AtlantaHawks",15
"130","2014-10","AtlantaHawks",11
"131","2014-11","AtlantaHawks",17
"132","2014-12","AtlantaHawks",24
"133","2015-01","AtlantaHawks",59
"134","2015-02","AtlantaHawks",46
"135","2015-03","AtlantaHawks",38
"136","2015-04","AtlantaHawks",49
"137","2015-05","AtlantaHawks",100
"138","2015-06","AtlantaHawks",17
"139","2015-07","AtlantaHawks",14
"140","2015-08","AtlantaHawks",8
"141","2015-09","AtlantaHawks",7
"142","2015-10","AtlantaHawks",17
"143","2015-11","AtlantaHawks",24
"144","2015-12","AtlantaHawks",21
"145","2016-01","AtlantaHawks",22
"146","2016-02","AtlantaHawks",25
"147","2016-03","AtlantaHawks",23
"148","2016-04","AtlantaHawks",40
"149","2016-05","AtlantaHawks",26
"150","2016-06","AtlantaHawks",17
"151","2016-07","AtlantaHawks",24
"152","2016-08","AtlantaHawks",10
"153","2016-09","AtlantaHawks",7
"154","2016-10","AtlantaHawks",18
"155","2016-11","AtlantaHawks",30
"156","2016-12","AtlantaHawks",22
"157","2017-01","AtlantaHawks",29
"158","2017-02","AtlantaHawks",23
"159","2017-03","AtlantaHawks",22
"160","2017-04","AtlantaHawks",35
"161","2017-05","AtlantaHawks",10
"162","2017-06","AtlantaHawks",14
"163","2017-07","AtlantaHawks",20
"164","2017-08","AtlantaHawks",8
"165","2017-09","AtlantaHawks",7
"166","2017-10","AtlantaHawks",17
"167","2017-11","AtlantaHawks",18
"168","2017-12","AtlantaHawks",17
"169","2018-01","AtlantaHawks",16
"170","2018-02","AtlantaHawks",16
"171","2018-03","AtlantaHawks",15
"172","2018-04","AtlantaHawks",11
"173","2018-05","AtlantaHawks",14
"174","2018-06","AtlantaHawks",19
"175","2018-07","AtlantaHawks",21
"176","2018-08","AtlantaHawks",10
"177","2018-09","AtlantaHawks",8
"178","2018-10","AtlantaHawks",23
"179","2018-11","AtlantaHawks",23
"180","2018-12","AtlantaHawks",18
"181","2019-01","AtlantaHawks",19
"182","2004-01","Boston.Celtics",7
"183","2004-02","Boston.Celtics",8
"184","2004-03","Boston.Celtics",6
"185","2004-04","Boston.Celtics",4
"186","2004-05","Boston.Celtics",3
"187","2004-06","Boston.Celtics",6
"188","2004-07","Boston.Celtics",4
"189","2004-08","Boston.Celtics",5
"190","2004-09","Boston.Celtics",4
"191","2004-10","Boston.Celtics",6
"192","2004-11","Boston.Celtics",8
"193","2004-12","Boston.Celtics",7
"194","2005-01","Boston.Celtics",5
"195","2005-02","Boston.Celtics",7
"196","2005-03","Boston.Celtics",10
"197","2005-04","Boston.Celtics",8
"198","2005-05","Boston.Celtics",7
"199","2005-06","Boston.Celtics",5
"200","2005-07","Boston.Celtics",5
"201","2005-08","Boston.Celtics",3
"202","2005-09","Boston.Celtics",3
"203","2005-10","Boston.Celtics",6
"204","2005-11","Boston.Celtics",8
"205","2005-12","Boston.Celtics",7
"206","2006-01","Boston.Celtics",7
"207","2006-02","Boston.Celtics",6
"208","2006-03","Boston.Celtics",5
"209","2006-04","Boston.Celtics",4
"210","2006-05","Boston.Celtics",3
"211","2006-06","Boston.Celtics",5
"212","2006-07","Boston.Celtics",5
"213","2006-08","Boston.Celtics",3
"214","2006-09","Boston.Celtics",3
"215","2006-10","Boston.Celtics",7
"216","2006-11","Boston.Celtics",10
"217","2006-12","Boston.Celtics",7
"218","2007-01","Boston.Celtics",6
"219","2007-02","Boston.Celtics",7
"220","2007-03","Boston.Celtics",6
"221","2007-04","Boston.Celtics",4
"222","2007-05","Boston.Celtics",4
"223","2007-06","Boston.Celtics",6
"224","2007-07","Boston.Celtics",7
"225","2007-08","Boston.Celtics",10
"226","2007-09","Boston.Celtics",5
"227","2007-10","Boston.Celtics",9
"228","2007-11","Boston.Celtics",20
"229","2007-12","Boston.Celtics",17
"230","2008-01","Boston.Celtics",13
"231","2008-02","Boston.Celtics",11
"232","2008-03","Boston.Celtics",12
"233","2008-04","Boston.Celtics",12
"234","2008-05","Boston.Celtics",31
"235","2008-06","Boston.Celtics",51
"236","2008-07","Boston.Celtics",7
"237","2008-08","Boston.Celtics",5
"238","2008-09","Boston.Celtics",5
"239","2008-10","Boston.Celtics",10
"240","2008-11","Boston.Celtics",12
"241","2008-12","Boston.Celtics",16
"242","2009-01","Boston.Celtics",11
"243","2009-02","Boston.Celtics",13
"244","2009-03","Boston.Celtics",11
"245","2009-04","Boston.Celtics",14
"246","2009-05","Boston.Celtics",22
"247","2009-06","Boston.Celtics",6
"248","2009-07","Boston.Celtics",6
"249","2009-08","Boston.Celtics",4
"250","2009-09","Boston.Celtics",4
"251","2009-10","Boston.Celtics",11
"252","2009-11","Boston.Celtics",13
"253","2009-12","Boston.Celtics",11
"254","2010-01","Boston.Celtics",11
"255","2010-02","Boston.Celtics",11
"256","2010-03","Boston.Celtics",9
"257","2010-04","Boston.Celtics",12
"258","2010-05","Boston.Celtics",34
"259","2010-06","Boston.Celtics",38
"260","2010-07","Boston.Celtics",9
"261","2010-08","Boston.Celtics",8
"262","2010-09","Boston.Celtics",7
"263","2010-10","Boston.Celtics",16
"264","2010-11","Boston.Celtics",18
"265","2010-12","Boston.Celtics",20
"266","2011-01","Boston.Celtics",19
"267","2011-02","Boston.Celtics",26
"268","2011-03","Boston.Celtics",20
"269","2011-04","Boston.Celtics",26
"270","2011-05","Boston.Celtics",26
"271","2011-06","Boston.Celtics",9
"272","2011-07","Boston.Celtics",4
"273","2011-08","Boston.Celtics",4
"274","2011-09","Boston.Celtics",4
"275","2011-10","Boston.Celtics",4
"276","2011-11","Boston.Celtics",5
"277","2011-12","Boston.Celtics",20
"278","2012-01","Boston.Celtics",15
"279","2012-02","Boston.Celtics",14
"280","2012-03","Boston.Celtics",14
"281","2012-04","Boston.Celtics",16
"282","2012-05","Boston.Celtics",36
"283","2012-06","Boston.Celtics",39
"284","2012-07","Boston.Celtics",16
"285","2012-08","Boston.Celtics",7
"286","2012-09","Boston.Celtics",6
"287","2012-10","Boston.Celtics",13
"288","2012-11","Boston.Celtics",15
"289","2012-12","Boston.Celtics",13
"290","2013-01","Boston.Celtics",15
"291","2013-02","Boston.Celtics",16
"292","2013-03","Boston.Celtics",15
"293","2013-04","Boston.Celtics",17
"294","2013-05","Boston.Celtics",11
"295","2013-06","Boston.Celtics",13
"296","2013-07","Boston.Celtics",11
"297","2013-08","Boston.Celtics",6
"298","2013-09","Boston.Celtics",5
"299","2013-10","Boston.Celtics",9
"300","2013-11","Boston.Celtics",13
"301","2013-12","Boston.Celtics",12
"302","2014-01","Boston.Celtics",12
"303","2014-02","Boston.Celtics",10
"304","2014-03","Boston.Celtics",8
"305","2014-04","Boston.Celtics",6
"306","2014-05","Boston.Celtics",6
"307","2014-06","Boston.Celtics",9
"308","2014-07","Boston.Celtics",9
"309","2014-08","Boston.Celtics",5
"310","2014-09","Boston.Celtics",4
"311","2014-10","Boston.Celtics",7
"312","2014-11","Boston.Celtics",10
"313","2014-12","Boston.Celtics",11
"314","2015-01","Boston.Celtics",10
"315","2015-02","Boston.Celtics",9
"316","2015-03","Boston.Celtics",11
"317","2015-04","Boston.Celtics",17
"318","2015-05","Boston.Celtics",5
"319","2015-06","Boston.Celtics",9
"320","2015-07","Boston.Celtics",10
"321","2015-08","Boston.Celtics",5
"322","2015-09","Boston.Celtics",4
"323","2015-10","Boston.Celtics",8
"324","2015-11","Boston.Celtics",11
"325","2015-12","Boston.Celtics",15
"326","2016-01","Boston.Celtics",11
"327","2016-02","Boston.Celtics",16
"328","2016-03","Boston.Celtics",13
"329","2016-04","Boston.Celtics",23
"330","2016-05","Boston.Celtics",8
"331","2016-06","Boston.Celtics",16
"332","2016-07","Boston.Celtics",25
"333","2016-08","Boston.Celtics",9
"334","2016-09","Boston.Celtics",6
"335","2016-10","Boston.Celtics",12
"336","2016-11","Boston.Celtics",13
"337","2016-12","Boston.Celtics",14
"338","2017-01","Boston.Celtics",15
"339","2017-02","Boston.Celtics",25
"340","2017-03","Boston.Celtics",19
"341","2017-04","Boston.Celtics",38
"342","2017-05","Boston.Celtics",71
"343","2017-06","Boston.Celtics",27
"344","2017-07","Boston.Celtics",30
"345","2017-08","Boston.Celtics",21
"346","2017-09","Boston.Celtics",14
"347","2017-10","Boston.Celtics",31
"348","2017-11","Boston.Celtics",50
"349","2017-12","Boston.Celtics",36
"350","2018-01","Boston.Celtics",29
"351","2018-02","Boston.Celtics",30
"352","2018-03","Boston.Celtics",25
"353","2018-04","Boston.Celtics",38
"354","2018-05","Boston.Celtics",100
"355","2018-06","Boston.Celtics",20
"356","2018-07","Boston.Celtics",19
"357","2018-08","Boston.Celtics",10
"358","2018-09","Boston.Celtics",10
"359","2018-10","Boston.Celtics",22
"360","2018-11","Boston.Celtics",24
"361","2018-12","Boston.Celtics",24
"362","2019-01","Boston.Celtics",23
"363","2004-01","Brooklyn.Nets",14
"364","2004-02","Brooklyn.Nets",5
"365","2004-03","Brooklyn.Nets",5
"366","2004-04","Brooklyn.Nets",2
"367","2004-05","Brooklyn.Nets",2
"368","2004-06","Brooklyn.Nets",2
"369","2004-07","Brooklyn.Nets",3
"370","2004-08","Brooklyn.Nets",2
"371","2004-09","Brooklyn.Nets",1
"372","2004-10","Brooklyn.Nets",2
"373","2004-11","Brooklyn.Nets",1
"374","2004-12","Brooklyn.Nets",1
"375","2005-01","Brooklyn.Nets",2
"376","2005-02","Brooklyn.Nets",1
"377","2005-03","Brooklyn.Nets",1
"378","2005-04","Brooklyn.Nets",1
"379","2005-05","Brooklyn.Nets",1
"380","2005-06","Brooklyn.Nets",1
"381","2005-07","Brooklyn.Nets",1
"382","2005-08","Brooklyn.Nets",1
"383","2005-09","Brooklyn.Nets",2
"384","2005-10","Brooklyn.Nets",1
"385","2005-11","Brooklyn.Nets",0
"386","2005-12","Brooklyn.Nets",0
"387","2006-01","Brooklyn.Nets",1
"388","2006-02","Brooklyn.Nets",2
"389","2006-03","Brooklyn.Nets",1
"390","2006-04","Brooklyn.Nets",1
"391","2006-05","Brooklyn.Nets",2
"392","2006-06","Brooklyn.Nets",1
