Month,AtlantaHawks,BrooklynNets,BostonCeltics,CharlotteHornets,ChicagoBulls,ClevelandCavaliers,DallasMavericks,DenverNuggets,DetroitPistons,GoldenStateWarriors,HoustonRockets,IndianaPacers,LosAngelesClippers,LosAngelesLakers,MemphisGrizzlies,MiamiHeat,MilwaukeeBucks,MinnesotaTimberwolves,NewOrleansPelicans,NewYorkKnicks,OklahomaCityThunder,OrlandoMagic,Philadelphia76ers,PhoenixSuns,PortlandTrailBlazers,SacramentoKings,SanAntonioSpurs,TorontoRaptors,UtahJazz,WashingtonWizards
2004-01,1,2,2,<1,2,2,2,1,1,2,2,1,1,4,<1,<1,1,1,<1,3,<1,1,1,1,1,2,1,1,1,1
2004-02,1,1,2,<1,2,2,2,1,2,1,2,1,1,4,<1,1,1,1,<1,2,<1,1,1,1,1,1,1,<1,1,2
2004-03,1,1,1,<1,2,2,1,1,1,1,2,1,1,5,1,<1,1,1,<1,1,<1,1,1,1,1,2,1,1,1,1
2004-04,1,2,1,1,1,1,2,1,1,1,2,1,<1,7,1,1,1,2,<1,1,<1,<1,1,1,1,2,2,<1,<1,1
2004-05,1,1,1,1,1,1,1,<1,3,1,1,2,<1,13,<1,1,1,5,<1,1,<1,<1,1,1,<1,3,3,<1,<1,1
2004-06,1,1,1,2,2,1,1,<1,11,1,2,1,1,12,<1,<1,1,1,<1,1,<1,1,1,1,<1,1,1,<1,1,1
2004-07,1,1,1,1,1,1,1,1,2,2,1,<1,1,4,<1,2,1,<1,<1,1,<1,1,1,1,1,1,1,<1,1,1
2004-08,1,1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,1,1,<1,<1,1,<1,<1,<1,<1,<1,1,1,<1,<1,1
2004-09,1,<1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,1,1,<1,<1,1,<1,<1,1,1,1,<1,1,<1,<1,1
2004-10,1,1,1,1,2,1,1,1,1,1,2,1,1,3,<1,1,1,1,<1,1,<1,1,1,1,1,1,1,<1,1,1
2004-11,1,1,2,2,2,2,2,1,12,2,2,12,1,3,1,1,1,1,<1,2,<1,1,1,1,1,1,1,<1,1,2
2004-12,1,1,1,1,2,2,1,1,3,2,2,2,1,3,1,1,1,1,<1,2,<1,1,1,2,1,1,2,<1,1,1
2005-01,1,1,1,1,3,2,1,1,2,2,2,1,1,3,1,2,1,1,<1,2,<1,1,1,2,1,1,2,<1,1,2
2005-02,1,1,2,1,2,2,1,1,2,2,2,1,1,3,1,1,1,1,<1,2,<1,1,2,1,1,1,1,<1,1,2
2005-03,1,1,2,1,2,2,2,1,2,2,2,1,1,3,<1,2,1,1,<1,1,<1,1,1,1,1,1,2,<1,<1,2
2005-04,1,2,2,1,3,2,2,2,2,2,3,1,1,2,1,1,1,1,<1,1,<1,<1,2,2,1,1,2,<1,<1,2
2005-05,1,1,2,<1,2,1,3,1,4,1,3,2,<1,2,<1,3,1,<1,<1,1,<1,<1,1,4,<1,1,4,<1,<1,2
2005-06,1,1,1,1,1,1,1,<1,8,1,1,1,<1,3,<1,2,1,<1,<1,1,<1,<1,1,1,1,1,8,<1,1,1
2005-07,1,1,1,1,1,1,1,<1,1,1,1,<1,1,3,<1,1,1,1,<1,2,<1,<1,1,1,1,1,2,<1,1,1
2005-08,1,1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,1,1,<1,<1,1,<1,<1,1,1,1,1,1,<1,<1,1
2005-09,<1,1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,1,1,<1,1,1,<1,<1,1,1,1,<1,1,<1,<1,1
2005-10,1,1,1,1,2,1,1,1,1,2,2,1,1,3,<1,1,1,1,<1,2,<1,<1,1,1,1,1,1,<1,<1,1
2005-11,1,1,2,2,2,2,2,1,3,3,2,1,1,3,1,1,2,1,1,2,<1,1,2,2,1,1,2,<1,1,2
2005-12,1,1,2,2,2,2,2,1,3,3,2,1,1,3,1,2,1,1,<1,2,<1,1,1,1,1,1,2,<1,1,1
2006-01,1,1,2,2,2,2,1,1,4,2,2,1,1,4,1,1,1,1,<1,2,<1,1,1,1,1,1,2,<1,1,1
2006-02,1,1,2,1,2,2,2,1,3,2,2,1,1,3,<1,1,1,1,1,2,<1,1,1,1,1,1,1,<1,1,1
2006-03,1,1,2,1,2,1,2,1,2,2,2,1,1,3,<1,1,1,1,<1,1,<1,1,1,2,1,1,2,<1,1,1
2006-04,1,1,1,1,3,2,2,1,3,1,1,1,1,4,<1,2,1,<1,<1,1,<1,<1,1,2,1,1,2,<1,<1,1
2006-05,<1,1,1,1,2,4,6,<1,6,1,1,<1,3,5,<1,3,1,<1,<1,1,<1,<1,<1,7,<1,1,4,<1,<1,1
2006-06,<1,1,1,1,2,1,9,<1,2,1,1,<1,<1,2,<1,8,1,<1,<1,1,<1,<1,1,2,1,1,1,<1,1,1
2006-07,1,1,1,1,2,1,1,<1,1,2,1,1,1,2,<1,1,1,1,<1,1,<1,1,1,1,1,1,1,<1,1,1
2006-08,<1,1,1,1,1,1,1,<1,1,1,1,<1,<1,1,<1,1,1,<1,<1,1,<1,<1,<1,1,<1,<1,1,<1,<1,1
2006-09,<1,1,1,1,1,1,1,<1,1,1,1,<1,<1,1,<1,1,1,<1,<1,1,<1,<1,<1,1,<1,<1,1,<1,<1,1
2006-10,1,1,2,1,2,1,1,1,1,2,2,1,1,3,<1,1,1,1,<1,1,<1,1,1,1,1,1,1,<1,1,1
2006-11,1,1,2,2,3,2,2,1,2,2,2,1,1,4,<1,2,1,1,<1,2,<1,1,1,2,1,1,2,<1,2,2
2006-12,1,2,2,2,3,2,2,5,2,2,2,1,1,4,1,2,1,1,<1,5,<1,1,2,3,1,1,2,<1,1,2
2007-01,1,1,2,1,2,2,3,2,2,2,2,1,1,4,1,1,1,1,<1,2,<1,1,1,3,1,1,1,<1,1,2
2007-02,1,1,2,1,2,2,2,2,2,2,2,1,1,3,<1,1,1,1,<1,2,<1,1,1,2,1,1,1,<1,1,2
2007-03,1,1,1,1,2,2,3,1,2,2,2,1,1,3,<1,1,1,1,<1,2,<1,1,1,2,1,1,1,1,1,1
2007-04,<1,1,1,1,3,2,4,2,2,4,2,<1,1,4,<1,2,1,<1,<1,1,<1,1,1,3,1,1,2,1,1,1
2007-05,<1,1,1,1,3,4,2,1,4,6,2,<1,<1,3,<1,1,1,<1,<1,1,<1,<1,<1,5,1,<1,5,<1,4,1
2007-06,1,1,2,1,2,6,1,1,2,2,1,<1,<1,3,<1,1,1,<1,<1,1,<1,1,1,1,1,<1,5,<1,1,1
2007-07,1,1,2,1,1,1,1,<1,1,2,1,<1,<1,3,<1,1,1,<1,<1,1,<1,1,1,1,1,<1,1,<1,1,1
2007-08,<1,1,3,1,1,1,1,<1,1,2,1,<1,<1,2,<1,1,1,<1,<1,1,<1,<1,<1,1,1,<1,1,<1,<1,1
2007-09,<1,1,1,1,1,1,1,<1,1,2,1,<1,<1,2,<1,1,1,<1,<1,1,<1,<1,<1,1,1,<1,1,<1,<1,1
2007-10,1,1,2,1,2,2,1,1,1,2,1,<1,1,3,<1,1,1,1,<1,2,<1,1,1,2,1,1,1,<1,1,1
2007-11,1,1,5,1,3,2,2,2,2,3,2,1,1,4,<1,2,1,1,<1,2,<1,1,1,3,1,1,2,<1,1,1
2007-12,1,1,4,1,2,2,2,2,2,3,1,1,1,4,<1,1,1,1,<1,2,<1,1,1,2,2,1,2,<1,1,1
2008-01,1,1,3,1,2,2,2,1,2,3,1,<1,1,4,<1,1,1,1,1,2,<1,1,1,2,2,1,1,1,1,1
2008-02,1,1,3,1,2,3,2,1,2,3,2,<1,1,6,1,1,1,1,1,1,<1,1,1,4,1,3,2,<1,1,1
2008-03,1,1,3,1,2,2,2,2,2,3,3,<1,1,6,<1,1,1,<1,1,1,<1,1,1,3,1,1,2,1,1,1
2008-04,1,1,3,1,1,2,2,2,2,2,2,<1,<1,7,<1,1,1,<1,1,1,<1,1,1,4,1,<1,3,1,2,2
2008-05,1,1,10,2,2,4,1,<1,4,1,1,<1,<1,12,<1,1,1,<1,1,1,<1,1,<1,1,1,<1,7,<1,2,1
2008-06,<1,1,19,1,2,1,1,<1,2,1,1,<1,1,16,<1,1,1,1,<1,1,<1,<1,1,1,1,1,1,<1,<1,1
2008-07,<1,1,2,1,1,1,1,<1,1,2,1,<1,1,3,<1,1,1,<1,<1,1,1,<1,1,1,1,<1,1,<1,<1,1
2008-08,<1,<1,1,1,1,1,1,<1,1,2,1,<1,<1,2,<1,1,1,<1,<1,1,1,<1,<1,1,1,<1,1,<1,<1,1
2008-09,<1,1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,<1,1,<1,<1,1,2,<1,<1,1,1,<1,1,<1,<1,1
2008-10,1,1,3,1,2,2,1,1,1,2,1,<1,1,4,<1,1,1,1,<1,2,2,1,1,1,2,1,1,<1,1,1
2008-11,1,1,3,1,2,2,1,2,3,3,2,1,1,6,1,1,1,1,1,3,2,1,1,2,2,1,1,1,1,1
2008-12,1,1,5,1,2,3,1,1,2,2,2,1,1,6,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1
2009-01,1,1,4,1,2,3,1,1,1,2,1,<1,1,6,<1,1,1,1,1,2,1,1,1,2,2,1,1,<1,1,1
2009-02,1,1,4,1,3,3,1,1,1,2,2,1,1,7,<1,1,1,1,<1,2,1,1,1,2,2,1,2,1,1,1
2009-03,1,1,3,1,2,3,1,1,1,2,2,<1,1,5,<1,1,1,<1,<1,2,1,1,1,2,2,1,2,<1,1,1
2009-04,1,1,5,1,4,4,2,2,1,2,2,<1,1,7,<1,1,1,<1,1,1,1,1,1,1,3,1,2,<1,2,1
2009-05,1,1,8,<1,4,9,2,8,1,2,5,<1,1,17,<1,1,1,<1,<1,1,1,6,1,1,1,<1,1,<1,<1,1
2009-06,<1,1,2,1,1,3,1,1,1,2,1,<1,1,18,<1,1,1,1,<1,2,1,5,1,1,1,1,1,<1,<1,1
2009-07,<1,1,2,1,1,2,1,1,1,2,1,<1,1,5,<1,1,1,<1,<1,2,1,1,1,1,1,<1,1,<1,1,1
2009-08,<1,<1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,1,1,<1,<1,1,1,1,<1,1,1,<1,1,<1,<1,1
2009-09,<1,1,1,1,1,1,1,<1,1,1,1,<1,<1,2,<1,<1,1,<1,<1,1,<1,<1,<1,1,1,<1,1,<1,<1,1
2009-10,1,1,3,1,2,3,1,1,1,2,1,1,1,5,1,1,1,1,<1,2,1,1,1,1,1,1,1,<1,1,1
2009-11,1,1,4,1,2,3,2,2,1,2,2,1,1,6,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1
2009-12,1,1,3,1,2,4,1,1,1,2,2,1,1,7,1,1,1,1,<1,2,1,1,2,2,2,1,1,<1,1,1
2010-01,1,1,3,1,2,4,1,1,1,2,1,1,1,7,1,1,1,1,<1,2,1,1,1,1,2,1,1,1,1,2
2010-02,1,1,4,1,3,5,2,2,1,2,1,1,1,6,1,1,1,1,<1,3,1,1,1,1,2,1,1,<1,1,2
2010-03,1,1,3,1,2,4,2,1,1,2,1,1,1,5,<1,1,1,<1,<1,2,1,1,1,1,1,1,1,1,1,1
2010-04,1,1,4,1,3,5,3,2,1,2,1,<1,1,8,<1,2,2,<1,<1,1,3,1,<1,3,2,1,3,<1,2,1
2010-05,1,1,13,<1,2,7,1,1,1,1,1,<1,1,17,<1,1,1,<1,<1,2,1,4,1,9,1,<1,2,<1,2,1
2010-06,1,1,22,1,3,2,1,<1,1,2,1,<1,1,31,<1,1,1,1,<1,2,1,1,1,1,1,1,1,<1,1,1
2010-07,1,1,3,1,5,6,1,1,1,3,1,<1,1,8,<1,11,1,1,<1,6,1,1,1,1,1,1,1,1,1,1
2010-08,<1,1,3,1,2,2,1,1,1,2,1,<1,1,4,<1,3,1,<1,<1,2,1,1,<1,1,1,<1,1,<1,1,1
2010-09,<1,1,2,1,2,1,1,1,1,2,1,<1,<1,4,<1,3,1,<1,<1,2,1,1,<1,1,1,<1,1,<1,<1,1
2010-10,1,1,6,1,3,2,1,1,1,2,2,1,1,8,<1,7,1,1,<1,3,1,2,1,1,2,1,1,<1,1,1
2010-11,1,1,6,1,4,2,2,1,1,3,1,1,1,10,1,7,1,1,1,3,2,2,1,2,2,1,2,1,2,2
2010-12,1,1,6,1,4,4,2,1,1,2,2,1,1,10,1,9,1,1,1,6,1,3,1,2,1,1,3,1,1,2
2011-01,1,2,6,1,5,2,2,2,1,3,2,1,2,10,1,6,1,1,1,5,2,2,1,2,2,1,3,<1,2,2
2011-02,1,2,9,2,6,3,2,2,2,3,2,1,2,12,1,6,1,1,1,12,2,2,1,2,2,1,3,<1,2,2
2011-03,1,1,6,1,7,2,2,2,1,2,2,1,2,11,1,8,1,1,<1,6,2,2,1,2,2,2,3,<1,1,1
2011-04,2,1,10,3,11,1,4,3,1,2,1,2,1,18,2,7,1,<1,1,7,3,2,2,1,3,2,5,<1,1,1
2011-05,3,1,11,1,24,2,15,1,1,1,1,1,1,18,3,22,1,<1,<1,2,8,1,1,1,1,1,1,<1,1,2
2011-06,1,1,3,1,4,2,22,1,1,2,1,1,1,7,<1,18,1,1,<1,3,1,1,1,1,1,1,1,<1,1,1
2011-07,<1,1,1,1,2,1,2,<1,1,1,1,<1,1,3,<1,2,1,<1,<1,1,1,<1,<1,1,1,1,1,<1,<1,1
2011-08,<1,1,1,1,2,1,1,<1,1,1,<1,<1,<1,2,<1,2,1,<1,<1,1,1,<1,<1,<1,<1,<1,1,<1,<1,1
2011-09,<1,1,1,1,2,1,1,<1,1,1,1,<1,<1,2,<1,1,1,<1,<1,1,1,<1,<1,<1,<1,1,<1,<1,<1,1
2011-10,<1,1,1,<1,2,1,1,<1,<1,1,1,<1,<1,2,<1,1,1,<1,<1,1,1,<1,<1,<1,<1,1,<1,<1,<1,1
2011-11,<1,1,2,<1,2,1,1,<1,<1,1,1,<1,<1,2,<1,1,1,<1,<1,1,1,<1,<1,<1,<1,1,1,<1,<1,1
2011-12,1,2,7,2,9,2,5,2,1,4,2,1,5,18,1,7,1,2,1,9,2,2,1,2,2,2,2,1,2,2
2012-01,2,2,5,2,11,2,4,2,1,3,2,1,4,13,1,9,1,2,1,6,3,2,3,2,2,2,2,1,2,2
2012-02,2,2,5,2,8,2,4,2,1,3,2,1,3,14,1,8,1,2,<1,24,3,2,3,2,2,2,2,1,2,2
2012-03,1,2,5,1,10,2,3,2,1,3,2,1,3,18,1,8,2,2,<1,13,3,2,2,2,2,2,3,1,2,1
2012-04,2,3,6,2,10,1,4,2,1,2,2,1,3,12,1,8,1,1,<1,10,4,2,1,2,1,2,4,1,2,1
2012-05,1,3,16,1,7,1,2,4,1,2,1,5,6,24,2,16,1,<1,<1,6,12,1,6,1,1,1,10,<1,1,1
2012-06,1,2,19,2,4,2,1,1,1,2,1,1,1,7,<1,39,1,1,1,3,26,1,1,1,1,2,7,<1,1,1
